,latitude,longitude,ndvi,gndvi,savi,evi,County,Year,Area_planted_Acr_f,yield_Bu_Acr_f,yield_total_Bu
0,40.7457405,-84.93613535,0.8645460500091869,8.262664933255303,1.2967727281389447,18.822446158575534,ADAMS,2014,64000.0,183.3,11731200.0
1,41.09186315,-85.07223512,0.8495033529115847,8.167987837561208,1.2743354374162272,22.83972227240048,ALLEN,2014,82000.0,185.8,15235600.000000002
2,39.2064832,-85.89366314,0.6083693632792397,3.347106208333413,0.912521053336254,12.452922896336252,BARTHOLOMEW,2014,60000.0,200.3,12018000.0
3,40.60826045,-87.31548474,0.8987636402410962,9.68802695785223,1.3489775782505316,6.348873122571864,BENTON,2014,130000.0,202.4,26312000.0
4,40.47466767,-85.32624117,0.6776659506368233,4.744491117881753,1.0166899946927364,14.95722240783346,BLACKFORD,2014,32500.0,157.1,5105750.0
5,40.05089919,-86.46901894,0.8980804741039381,10.791141570288993,1.347137986359112,18.857976384087205,BOONE,2014,99000.0,200.6,19859400.0
6,40.58498779,-86.56514651,0.9032088356166472,11.085409247152484,1.3548596547293812,19.553155652124367,CARROLL,2014,95000.0,205.3,19503500.0
7,40.7842263,-86.36139836,0.8988764437949581,10.64106714464964,1.348312134646654,14.795368770315497,CASS,2014,102000.0,195.9,19981800.0
8,38.47622474,-85.71112699,0.8441176355290452,7.950433583258039,1.2663122298917695,11.479714277390707,CLARK,2014,17500.0,173.3,3032750.0
9,39.39395874,-87.11584227,0.8916040679356407,9.847311696452785,1.339831299520545,16.72962250488115,CLAY,2014,61000.0,200.3,12218300.0
10,40.30595164,-86.47757176,0.9035326928941816,11.31595334998474,1.3554194704549678,12.610974228453433,CLINTON,2014,114000.0,214.1,24407400.0
11,38.69616271,-87.0769936,0.882821457330178,9.01930679461322,1.329148886850604,12.53715811762531,DAVIESS,2014,91000.0,210.2,19128200.0
12,41.39977654,-85.00631853,0.8473896771732022,7.534070302047199,1.2719109944150635,20.924666806550057,DE KALB,2014,49000.0,164.7,8070299.999999999
13,39.15578657,-84.96537794,0.8232261801774223,7.597932291327288,1.2354725777471052,43.69323047995629,DEARBORN,2014,8500.0,165.9,1410150.0
14,39.3059874,-85.49983589,0.7972386129035671,6.8711477212263325,1.1962794057952455,25.87333424635016,DECATUR,2014,82000.0,205.8,16875600.0
15,40.22717298,-85.39886044,0.6999951304574108,4.656230755715674,1.0504606071377491,10.462442983816372,DELAWARE,2014,74000.0,174.0,12876000.0
16,38.37335926,-86.88093118,0.8681532793590109,8.88708263361612,1.3026519219959034,16.736591676811443,DUBOIS,2014,58000.0,190.4,11043200.0
17,41.6007007,-85.8639916,0.881937377530344,9.15871035098818,1.3232064804043897,20.868870705675292,ELKHART,2014,58000.0,182.0,10556000.0
18,39.62874817,-85.16643336,0.834592452780382,7.944002739657861,1.2527384819322815,22.324085920934035,FAYETTE,2014,37000.0,187.4,6933800.0
19,38.32094528,-85.90561545,0.5756127664687583,3.501548757685809,0.8633130169254317,8.264104241771413,FLOYD,2014,2900.0,152.1,441090.0
20,40.12124878,-87.25399855,0.8968386552904828,9.9234935993956,1.3466810759919747,13.258792457069235,FOUNTAIN,2014,93000.0,204.8,19046400.0
21,39.40976964,-85.06696887,0.814370883298783,7.3528972357764175,1.2220726393973538,32.21225635737085,FRANKLIN,2014,40000.0,194.1,7764000.0
